,Months,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Jan,1.0,0.7,0.9,1.1,3.6,1.1,4.1,1.3,1.8,2.9,2.3,4.0
1,Feb,1.2,0.7,0.7,0.5,3.4,0.9,2.7,2.5,2.4,3.8,2.0,3.6
2,Mar,1.1,0.8,0.9,0.7,2.6,1.3,3.0,2.4,2.3,4.7,3.3,
3,Apr,0.8,0.8,0.8,0.7,1.8,1.1,3.4,2.6,2.7,3.4,1.5,
4,May,0.7,0.7,0.8,0.7,1.4,1.0,4.2,1.3,2.1,3.1,1.5,
5,Jun,0.7,0.7,0.7,0.8,1.3,1.0,3.1,1.2,3.7,2.7,2.2,
6,Jul,0.8,0.8,0.8,0.9,1.4,1.3,2.0,1.7,3.1,2.2,1.9,
7,Aug,0.7,0.8,0.9,0.8,1.3,1.2,0.2,1.4,3.9,4.0,2.7,
8,Sep,0.7,0.8,0.9,0.8,1.4,1.2,1.1,1.9,6.5,5.9,2.8,
9,Oct,0.8,0.6,0.8,0.9,1.2,1.1,2.4,1.5,5.4,3.3,3.8,
10,Nov,0.7,0.6,0.9,0.9,1.1,2.0,1.6,1.4,3.2,4.3,3.2,
11,Dec,0.8,0.8,1.0,1.4,1.0,3.9,1.2,3.1,2.6,3.7,4.0,
